OBJECTID,Shape,codigo,nombre,riesgo,descripcion,tipo_amenaza,categoria_proteccion,subcategoria_proteccion,Shape_Length,Shape_Area

1,"(4715058.686818214, 2245036.155446599)",1421-1,Patio Bonito,Con condiciones de riesgo,Zona con condiciones de riesgo por avenidas torrenciales,Avenidas Torrenciales,�reas de Amenaza y Riesgo,Zona con condiciones de riesgo,2606.327940907418,34520.34373569805

2,"(4711155.5520942295, 2245900.9638461308)",1611-1,La Loma de Los Bernal,Con condiciones de riesgo,Zona con condiciones de riesgo por avenidas torrenciales,Avenidas Torrenciales,�reas de Amenaza y Riesgo,Zona con condiciones de riesgo,156.60681155584822,1190.052202802588

3,"(4711068.204277469, 2245903.36136315)",1611-2,La Loma de Los Bernal,Con condiciones de riesgo,Zona con condiciones de riesgo por avenidas torrenciales,Avenidas Torrenciales,�reas de Amenaza y Riesgo,Zona con condiciones de riesgo,130.3437241396936,255.1013819091577

4,"(4720322.379438738, 2247091.8874599654)",0901-5,Juan Pablo II,Alto riesgo no mitigable,Zona de alto riesgo no mitigable por avenidas torrenciales,Avenidas Torrenciales,�reas de Amenaza y Riesgo,Zona de riesgo no mitigable,1617.6278827520862,13160.466526599022

5,"(4714040.338611756, 2250718.2715630326)",Inst_7-1,Ecoparque Cerro El Volador,Alto riesgo no mitigable,Zona de alto riesgo no mitigable por avenidas torrenciales,Avenidas Torrenciales,�reas de Amenaza y Riesgo,Zona de riesgo no mitigable,732.5418725094413,10517.457611844628

6,"(4718860.9815542465, 2251260.5571199767)",0309-3,Versalles No.1,Con condiciones de riesgo,Zona con condiciones de riesgo por avenidas torrenciales,Avenidas Torrenciales,�reas de Amenaza y Riesgo,Zona con condiciones de riesgo,900.8576200511894,3382.9038528889223

7,"(4699533.517391422, 2261655.130556566)",5003-4,Urquit�,Con condiciones de riesgo,Zona con condiciones de riesgo por avenidas torrenciales,Avenidas Torrenciales,�reas de Amenaza y Riesgo,Zona con condiciones de riesgo,26.375654824552846,34.76411586583626

8,"(4700974.940702564, 2261945.6568943476)",5003-1,Urquit�,Con condiciones de riesgo,Zona con condiciones de riesgo por avenidas torrenciales,Avenidas Torrenciales,�reas de Amenaza y Riesgo,Zona con condiciones de riesgo,48.97255986384574,100.62386246845983

9,"(4701850.923754703, 2262303.880555479)",5003-2,Urquit�,Alto riesgo no mitigable,Zona de alto riesgo no mitigable por avenidas torrenciales,Avenidas Torrenciales,�reas de Amenaza y Riesgo,Zona de riesgo no mitigable,176.9717338026566,1746.15557402164

10,"(4700970.271126839, 2261933.683217469)",5008-1,Potrera Miserenga,Con condiciones de riesgo,Zona con condiciones de riesgo por avenidas torrenciales,Avenidas Torrenciales,�reas de Amenaza y Riesgo,Zona con condiciones de riesgo,76.31421765613987,353.83223032978117

11,"(4711439.354943741, 2252565.827499866)",0719-1,Fuente Clara,Con condiciones de riesgo,Zona con condiciones de riesgo por avenidas torrenciales,Avenidas Torrenciales,�reas de Amenaza y Riesgo,Zona con condiciones de riesgo,114.43854612920106,560.0270078101591

12,"(4711840.5559361335, 2252210.2765483893)",0719-2,Fuente Clara,Con condiciones de riesgo,Zona con condiciones de riesgo por avenidas torrenciales,Avenidas Torrenciales,�reas de Amenaza y Riesgo,Zona con condiciones de riesgo,1215.0313402272018,18659.90583563778

13,"(4719541.699817146, 2247258.393581577)",0902-2,Barrios de Jes�s,Alto riesgo no mitigable,Zona de alto riesgo no mitigable por avenidas torrenciales,Avenidas Torrenciales,�reas de Amenaza y Riesgo,Zona de riesgo no mitigable,2235.615357721737,24759.841703545193

14,"(4710711.466170279, 2248714.6308270833)",1212-2,Santa Teresita,Con condiciones de riesgo,Zona con condiciones de riesgo por avenidas torrenciales,Avenidas Torrenciales,�reas de Amenaza y Riesgo,Zona con condiciones de riesgo,299.7716744425355,935.3964756311775

15,"(4716778.990100241, 2244623.4043327267)",1406-1,Las Lomas No.1,Con condiciones de riesgo,Zona con condiciones de riesgo por avenidas torrenciales,Avenidas Torrenciales,�reas de Amenaza y Riesgo,Zona con condiciones de riesgo,15.458866321915925,13.614920727753312

16,"(4716477.543867782, 2244579.48541907)",1406-2,Las Lomas No.1,Con condiciones de riesgo,Zona con condiciones de riesgo por avenidas torrenciales,Avenidas Torrenciales,�reas de Amenaza y Riesgo,Zona con condiciones de riesgo,42.4873354540738,28.47786466432413

17,"(4710149.691342159, 2248774.7997578643)",1312-2,Betania,Con condiciones de riesgo,Zona con condiciones de riesgo por avenidas torrenciales,Avenidas Torrenciales,�reas de Amenaza y Riesgo,Zona con condiciones de riesgo,1925.649322140171,15285.491848858044

18,"(4716097.34822737, 2244602.1154159713)",1417-1,La Florida,Con condiciones de riesgo,Zona con condiciones de riesgo por avenidas torrenciales,Avenidas Torrenciales,�reas de Amenaza y Riesgo,Zona con condiciones de riesgo,2824.5916940162683,29635.266452460146

19,"(4710403.269515734, 2251900.699681393)",0722-3,Olaya Herrera,Alto riesgo no mitigable,Zona de alto riesgo no mitigable por avenidas torrenciales,Avenidas Torrenciales,�reas de Amenaza y Riesgo,Zona de riesgo no mitigable,508.4599182685658,5301.897226349114

20,"(4710709.933062312, 2251961.1880021594)",0722-4,Olaya Herrera,Con condiciones de riesgo,Zona con condiciones de riesgo por avenidas torrenciales,Avenidas Torrenciales,�reas de Amenaza y Riesgo,Zona con condiciones de riesgo,340.32170811801916,961.0490113617961

21,"(4715221.836671826, 2244813.94181075)",1420-1,Astorga,Con condiciones de riesgo,Zona con condiciones de riesgo por avenidas torrenciales,Avenidas Torrenciales,�reas de Amenaza y Riesgo,Zona con condiciones de riesgo,2063.6097476000805,16671.74451766791

22,"(4708082.753112588, 2242891.198634471)",SN01-2,El Coraz�n,Con condiciones de riesgo,Zona con condiciones de riesgo por avenidas torrenciales,Avenidas Torrenciales,�reas de Amenaza y Riesgo,Zona con condiciones de riesgo,181.58213430887267,953.8085863619069

23,"(4710428.878715058, 2248685.2164418628)",1311-1,Belencito,Con condiciones de riesgo,Zona con condiciones de riesgo por avenidas torrenciales,Avenidas Torrenciales,�reas de Amenaza y Riesgo,Zona con condiciones de riesgo,983.1252085235672,10634.334083414618

24,"(4711308.873518851, 2252792.3315342697)",0718-1,Cucaracho,Con condiciones de riesgo,Zona con condiciones de riesgo por avenidas torrenciales,Avenidas Torrenciales,�reas de Amenaza y Riesgo,Zona con condiciones de riesgo,312.2239802631146,1495.0646769381856

25,"(4712154.956112747, 2252895.019725611)",0718-2,Cucaracho,Con condiciones de riesgo,Zona con condiciones de riesgo por avenidas torrenciales,Avenidas Torrenciales,�reas de Amenaza y Riesgo,Zona con condiciones de riesgo,381.2614109647014,3160.072562261038

26,"(4710697.122864914, 2248729.694938811)",1209-2,Santa M�nica,Con condiciones de riesgo,Zona con condiciones de riesgo por avenidas torrenciales,Avenidas Torrenciales,�reas de Amenaza y Riesgo,Zona con condiciones de riesgo,334.7689476868855,3962.2917953097667

27,"(4709553.248761987, 2247658.122106614)",7004-1,San Pablo,Alto riesgo no mitigable,Zona de alto riesgo no mitigable por avenidas torrenciales,Avenidas Torrenciales,�reas de Amenaza y Riesgo,Zona de riesgo no mitigable,801.4137852585952,9451.96749358415

28,"(4709318.9057366345, 2248988.741797881)",1313-2,El Coraz�n,Con condiciones de riesgo,Zona con condiciones de riesgo por avenidas torrenciales,Avenidas Torrenciales,�reas de Amenaza y Riesgo,Zona con condiciones de riesgo,2195.9909789411304,16117.50406441505

29,"(4716066.808258412, 2252563.6658764146)",0405-2,Moravia,Con condiciones de riesgo,Zona con condiciones de riesgo por avenidas torrenciales,Avenidas Torrenciales,�reas de Amenaza y Riesgo,Zona con condiciones de riesgo,662.2434580332575,2940.6269380679714

30,"(4715373.766174789, 2250310.8600475527)",1006-1,San Benito,Con condiciones de riesgo,Zona con condiciones de riesgo por avenidas torrenciales,Avenidas Torrenciales,�reas de Amenaza y Riesgo,Zona con condiciones de riesgo,692.7297850887686,2643.5595827851043

31,"(4712671.429458259, 2251946.1652672472)",0717-1,Robledo,Con condiciones de riesgo,Zona con condiciones de riesgo por avenidas torrenciales,Avenidas Torrenciales,�reas de Amenaza y Riesgo,Zona con condiciones de riesgo,2408.4150210547655,23683.460914469117

