OBJECTID,Shape,CODIGO_TRATAMIENTO,NOMBRE,CLASE_SUELO,CATEGORIA_SUELO,CATDLLORESTRING,Shape_Length,Shape_Area

1,"(830585.2444075875, 1185321.4185251584)",Z4_DE_1,Altos de Calasanz,Expansi�n Urbana,Expansi�n para el Desarrollo,N/A,5043.540562802482,729195.2525351106

2,"(828154.4582608435, 1180084.1932756465)",N/A,Cabecera Altavista,Urbano,N/A,N/A,8203.487383872263,426953.8806059732

3,"(826214.4184676112, 1175418.7320215693)",N/A,Cabecera San Antonio,Urbano,N/A,N/A,16692.26261693491,3990623.4209146327

4,"(828345.7240369132, 1185631.9336013137)",N/A,Cabecera San Crist�bal,Urbano,N/A,N/A,14807.66996522102,3473680.084395579

5,"(828240.7247434508, 1184438.6829906183)",Z4_DE_7,Eduardo Santos,Expansi�n Urbana,Expansi�n para el Desarrollo,N/A,1867.126266528552,50997.07013573703

6,"(829658.00913355, 1181892.1488810012)",Z6_DE_2,El Noral,Expansi�n Urbana,Expansi�n para el Desarrollo,N/A,3065.040436955884,321282.51229881385

7,"(829457.9291324124, 1181365.5455008694)",Z6_DE_3,Las Mercedes,Expansi�n Urbana,Expansi�n para el Desarrollo,N/A,1757.4139139118995,157998.57308669458

8,"(838324.8188724212, 1183692.0753453095)",Z3_MIE_3,Llanaditas,Expansi�n Urbana,Expansi�n para el Mejoramiento,N/A,1167.1675219695294,40919.83795651798

9,"(838287.6379864925, 1186482.7974474274)",Z1_MIE_1,Maria Cano Carambolas,Expansi�n Urbana,Expansi�n para el Mejoramiento,N/A,777.7164491071679,27537.382925523478

10,"(838171.274381861, 1182362.8014100988)",Z3_MIE_4,Trece de Noviembre_Pinares de Oriente,Expansi�n Urbana,Expansi�n para el Mejoramiento,N/A,355.20908758087074,6231.939515723847

11,"(838391.0675365119, 1184836.2298722346)",Z1_MIE_2,Versalles 2,Expansi�n Urbana,Expansi�n para el Mejoramiento,N/A,1001.7515447957779,34533.73802847522

12,"(820415.8290484414, 1193815.6049584497)",PA-CNS3-01,Aldea 2,Rural,Suburbano,Suelos suburbanos propiamente dichos,4809.044116703237,510288.6909734908

13,"(824782.9193627457, 1175211.4085850287)",SAP-CNS2-04,La Florida,Rural,Suburbano,�reas para la localizaci�n de equipamientos,197.01611308548212,2050.5481665941907

14,"(825774.1656651327, 1185671.2958621203)",SC-CNS2-02,La Palma,Rural,Suburbano,�reas para la localizaci�n de equipamientos,195.15249901233582,1929.6416320642209

15,"(837465.1151780174, 1178960.3336201694)",SE-CNS1-01,Mirador del Poblado,Rural,Suburbano,�reas para la localizaci�n de equipamientos,478.81426624139056,10229.375673657798

16,"(837993.7593000799, 1175369.59290431)",SE-CNS1-03,Chacaltaya,Rural,Suburbano,�reas destinadas a la parcelaci�n de vivienda campestre,4284.936744518198,486787.2680937333

17,"(842337.6101158675, 1186161.584561295)",SE-CNS2-09,Piedras Blancas,Rural,Suburbano,Suelos suburbanos propiamente dichos,3195.7262234405243,240446.86442655808

18,"(841544.8000426417, 1178093.000368141)",SE-CNS3-08,"El Llano, Plan",Rural,Suburbano,Suelos suburbanos propiamente dichos,1716.7211456281086,157773.4322134274

19,"(842077.0888656531, 1177403.664835607)",SE-CNS2-06,El Llano,Rural,Suburbano,Suelos suburbanos propiamente dichos,6249.646772972733,747605.8690107631

20,"(841836.4126693888, 1183321.1474541428)",SE-CNS3-09,"Mazo, Los V�squez",Rural,Suburbano,Centros poblados rurales,906.8779465291012,37374.71099591393

21,"(842120.3692383834, 1185127.3420783621)",SE-CNS3-11,"Piedras Blancas, Chorro Clar�n",Rural,Suburbano,Suelos suburbanos propiamente dichos,2479.848914742912,194157.31518184367

22,"(828387.9721022692, 1182556.8704988863)",AL-CNS3-05,Coraz�n El Morro,Rural,Suburbano,�reas para la localizaci�n de equipamientos,68.90366472071267,274.1961327436559

23,"(827382.4962639017, 1182834.8989753223)",AL-CNS3-05,Coraz�n El Morro,Rural,Suburbano,�reas para la localizaci�n de equipamientos,481.2038313444201,12275.385093055942

