OBJECTID;Shape;CODIGO_TRATAMIENTO;NOMBRE;CLASE_SUELO;CATEGORIA_SUELO;CATDLLORESTRING;Shape_Length;Shape_Area
;;;;;;;;
1;(830585.2444075875, 1185321.4185251584);Z4_DE_1;Altos de Calasanz;Expansion Urbana;Expansion para el Desarrollo;N/A;5,04354E+15;7,29195E+15
;;;;;;;;
2;(828154.4582608435, 1180084.1932756465);N/A;Cabecera Altavista;Urbano;N/A;N/A;8,20349E+15;4,26954E+15
;;;;;;;;
3;(826214.4184676112, 1175418.7320215693);N/A;Cabecera San Antonio;Urbano;N/A;N/A;1,66923E+15;3,99062E+16
;;;;;;;;
4;(828345.7240369132, 1185631.9336013137);N/A;Cabecera San Cristobal;Urbano;N/A;N/A;1,48077E+15;3,47368E+15
;;;;;;;;
5;(828240.7247434508, 1184438.6829906183);Z4_DE_7;Eduardo Santos;Expansion Urbana;Expansion para el Desarrollo;N/A;1,86713E+15;5,09971E+15
;;;;;;;;
6;(829658.00913355, 1181892.1488810012);Z6_DE_2;El Noral;Expansion Urbana;Expansion para el Desarrollo;N/A;3,06504E+15;3,21283E+16
;;;;;;;;
7;(829457.9291324124, 1181365.5455008694);Z6_DE_3;Las Mercedes;Expansion Urbana;Expansion para el Desarrollo;N/A;1,75741E+16;1,57999E+16
;;;;;;;;
8;(838324.8188724212, 1183692.0753453095);Z3_MIE_3;Llanaditas;Expansion Urbana;Expansion para el Mejoramiento;N/A;1,16717E+16;4,09198E+15
;;;;;;;;
9;(838287.6379864925, 1186482.7974474274);Z1_MIE_1;Maria Cano Carambolas;Expansion Urbana;Expansion para el Mejoramiento;N/A;7,77716E+15;2,75374E+16
;;;;;;;;
10;(838171.274381861, 1182362.8014100988);Z3_MIE_4;Trece de Noviembre_Pinares de Oriente;Expansion Urbana;Expansion para el Mejoramiento;N/A;3,55209E+16;6,23194E+15
;;;;;;;;
11;(838391.0675365119, 1184836.2298722346);Z1_MIE_2;Versalles 2;Expansion Urbana;Expansion para el Mejoramiento;N/A;1,00175E+16;3,45337E+15
;;;;;;;;
12;(820415.8290484414, 1193815.6049584497);PA-CNS3-01;Aldea 2;Rural;Suburbano;Suelos suburbanos propiamente dichos;4,80904E+15;5,10289E+15
;;;;;;;;
13;(824782.9193627457, 1175211.4085850287);SAP-CNS2-04;La Florida;Rural;Suburbano;Áreas para la localizacion de equipamientos;1,97016E+16;2,05055E+16
;;;;;;;;
14;(825774.1656651327, 1185671.2958621203);SC-CNS2-02;La Palma;Rural;Suburbano;Áreas para la localizacion de equipamientos;1,95152E+16;1,92964E+16
;;;;;;;;
15;(837465.1151780174, 1178960.3336201694);SE-CNS1-01;Mirador del Poblado;Rural;Suburbano;Áreas para la localizacion de equipamientos;4,78814E+16;1,02294E+16
;;;;;;;;
16;(837993.7593000799, 1175369.59290431);SE-CNS1-03;Chacaltaya;Rural;Suburbano;Áreas destinadas a la parcelacion de vivienda campestre;4,28494E+15;4,86787E+15
;;;;;;;;
