OBJECTID,Shape,codigo,nombre,riesgo,descripcion,tipo_amenaza,categoria_proteccion,subcategoria_proteccion,Shape_Length,Shape_Area

1,"(4711653.120041912, 2249555.543731642)",1204-1,La Am�rica,Con condiciones de riesgo,Zona con condiciones de riesgo por inundaciones,Inundaciones,�reas de Amenaza y Riesgo,Zona con condiciones de riesgo,155.88117568085397,686.6397574069674

2,"(4716684.437257953, 2247410.0074115666)",0913-1,Loreto,Con condiciones de riesgo,Zona con condiciones de riesgo por inundaciones,Inundaciones,�reas de Amenaza y Riesgo,Zona con condiciones de riesgo,47.106345834323925,130.74981709165544

3,"(4715172.314539709, 2254638.127533737)",0604-1,Pedregal,Con condiciones de riesgo,Zona con condiciones de riesgo por inundaciones,Inundaciones,�reas de Amenaza y Riesgo,Zona con condiciones de riesgo,128.5827542110379,608.5479813371182

4,"(4715102.308922836, 2254722.1344262892)",0604-2,Pedregal,Con condiciones de riesgo,Zona con condiciones de riesgo por inundaciones,Inundaciones,�reas de Amenaza y Riesgo,Zona con condiciones de riesgo,276.8169895737861,1939.2910392442643

5,"(4715194.626838867, 2254771.551784346)",0604-3,Pedregal,Con condiciones de riesgo,Zona con condiciones de riesgo por inundaciones,Inundaciones,�reas de Amenaza y Riesgo,Zona con condiciones de riesgo,71.38808435973094,270.2881109620198

6,"(4717930.828072116, 2254009.6432551504)",0207-1,Villa del Socorro,Con condiciones de riesgo,Zona con condiciones de riesgo por inundaciones,Inundaciones,�reas de Amenaza y Riesgo,Zona con condiciones de riesgo,43.78949366159291,107.89020414057121

7,"(4717853.870576549, 2254046.582380678)",0207-2,Villa del Socorro,Con condiciones de riesgo,Zona con condiciones de riesgo por inundaciones,Inundaciones,�reas de Amenaza y Riesgo,Zona con condiciones de riesgo,63.11281593191973,98.9338691656302

8,"(4717798.271627832, 2254071.749788846)",0207-3,Villa del Socorro,Con condiciones de riesgo,Zona con condiciones de riesgo por inundaciones,Inundaciones,�reas de Amenaza y Riesgo,Zona con condiciones de riesgo,110.52642886283235,171.21895204815738

9,"(4717518.351905212, 2254090.8648037515)",0207-4,Villa del Socorro,Con condiciones de riesgo,Zona con condiciones de riesgo por inundaciones,Inundaciones,�reas de Amenaza y Riesgo,Zona con condiciones de riesgo,47.72111063620191,67.6861363486382

10,"(4717372.597763841, 2254085.1146633355)",0207-5,Villa del Socorro,Con condiciones de riesgo,Zona con condiciones de riesgo por inundaciones,Inundaciones,�reas de Amenaza y Riesgo,Zona con condiciones de riesgo,141.99909067913094,488.824371544409

11,"(4714826.547278317, 2255979.964708343)",0602-1,Doce de Octubre No.1,Con condiciones de riesgo,Zona con condiciones de riesgo por inundaciones,Inundaciones,�reas de Amenaza y Riesgo,Zona con condiciones de riesgo,1833.798932470978,6949.648246521772

12,"(4713111.591560102, 2252649.0414252016)",0715-1,Villa Flora,Con condiciones de riesgo,Zona con condiciones de riesgo por inundaciones,Inundaciones,�reas de Amenaza y Riesgo,Zona con condiciones de riesgo,79.3877121914836,249.13701717221483

13,"(4714171.995389751, 2255871.988731092)",0612-1,El Triunfo,Con condiciones de riesgo,Zona con condiciones de riesgo por inundaciones,Inundaciones,�reas de Amenaza y Riesgo,Zona con condiciones de riesgo,157.29334895195854,489.93626160450304

14,"(4717660.253171568, 2249003.6080358042)",0808-1,Enciso,Con condiciones de riesgo,Zona con condiciones de riesgo por inundaciones,Inundaciones,�reas de Amenaza y Riesgo,Zona con condiciones de riesgo,122.95147738476354,590.6123599195196

15,"(4717576.223480894, 2255095.1590670543)",0203-1,Pablo VI,Con condiciones de riesgo,Zona con condiciones de riesgo por inundaciones,Inundaciones,�reas de Amenaza y Riesgo,Zona con condiciones de riesgo,56.76577913841902,126.9511123773245

16,"(4713933.561756501, 2253487.917245696)",0711-1,El Diamante,Con condiciones de riesgo,Zona con condiciones de riesgo por inundaciones,Inundaciones,�reas de Amenaza y Riesgo,Zona con condiciones de riesgo,50.86033238745532,73.87405927004247

17,"(4713897.4522884535, 2253517.8503913595)",0711-2,El Diamante,Con condiciones de riesgo,Zona con condiciones de riesgo por inundaciones,Inundaciones,�reas de Amenaza y Riesgo,Zona con condiciones de riesgo,49.81540885998564,66.31735277181484

18,"(4713210.521412512, 2252350.5037267916)",0716-1,Palenque,Con condiciones de riesgo,Zona con condiciones de riesgo por inundaciones,Inundaciones,�reas de Amenaza y Riesgo,Zona con condiciones de riesgo,102.11998430415902,394.4945294454312

19,"(4719061.897311449, 2254348.6779000293)",0102-1,Santo Domingo Savio No.2,Con condiciones de riesgo,Zona con condiciones de riesgo por inundaciones,Inundaciones,�reas de Amenaza y Riesgo,Zona con condiciones de riesgo,135.0624797521747,644.3111213355689

20,"(4717939.768874825, 2252828.664493658)",0302-2,Las Granjas,Con condiciones de riesgo,Zona con condiciones de riesgo por inundaciones,Inundaciones,�reas de Amenaza y Riesgo,Zona con condiciones de riesgo,40.93389292224671,60.89604140996693

21,"(4717224.508014059, 2248353.7733644363)",0907-1,Buenos Aires,Con condiciones de riesgo,Zona con condiciones de riesgo por inundaciones,Inundaciones,�reas de Amenaza y Riesgo,Zona con condiciones de riesgo,1340.7637988439328,6113.668877612762

22,"(4716787.861677037, 2248091.6690396885)",0911-1,Gerona,Con condiciones de riesgo,Zona con condiciones de riesgo por inundaciones,Inundaciones,�reas de Amenaza y Riesgo,Zona con condiciones de riesgo,188.1634207542277,798.6406527235154

23,"(4717024.814200467, 2247982.701673849)",0911-2,Gerona,Con condiciones de riesgo,Zona con condiciones de riesgo por inundaciones,Inundaciones,�reas de Amenaza y Riesgo,Zona con condiciones de riesgo,1138.5290345304463,9562.576621695347

24,"(4716806.85350872, 2248410.5891516875)",0911-3,Gerona,Con condiciones de riesgo,Zona con condiciones de riesgo por inundaciones,Inundaciones,�reas de Amenaza y Riesgo,Zona con condiciones de riesgo,43.79516678283313,62.83669051758838

25,"(4710718.128358126, 2248418.4992267536)",1212-1,Santa Teresita,Con condiciones de riesgo,Zona con condiciones de riesgo por inundaciones,Inundaciones,�reas de Amenaza y Riesgo,Zona con condiciones de riesgo,631.0484092260638,5979.679061130616

26,"(4718787.788683109, 2253483.3091279427)",0109-5,Aldea Pablo VI,Con condiciones de riesgo,Zona con condiciones de riesgo por inundaciones,Inundaciones,�reas de Amenaza y Riesgo,Zona con condiciones de riesgo,92.69664497818984,375.788150014545

27,"(4717513.393581416, 2250164.0947133214)",0801-1,Villa Hermosa,Con condiciones de riesgo,Zona con condiciones de riesgo por inundaciones,Inundaciones,�reas de Amenaza y Riesgo,Zona con condiciones de riesgo,107.27078943269677,419.32339713195574

28,"(4717348.46757163, 2254100.05237474)",0210-1,Santa Cruz,Con condiciones de riesgo,Zona con condiciones de riesgo por inundaciones,Inundaciones,�reas de Amenaza y Riesgo,Zona con condiciones de riesgo,27.29681913637693,29.398787496643134

29,"(4717102.624616359, 2254189.3349113837)",0210-2,Santa Cruz,Con condiciones de riesgo,Zona con condiciones de riesgo por inundaciones,Inundaciones,�reas de Amenaza y Riesgo,Zona con condiciones de riesgo,374.81239702657257,1384.5752433456184

30,"(4716828.696278457, 2254237.1204646477)",0210-3,Santa Cruz,Con condiciones de riesgo,Zona con condiciones de riesgo por inundaciones,Inundaciones,�reas de Amenaza y Riesgo,Zona con condiciones de riesgo,17.99422998246401,16.805590684084258

31,"(4716948.206770776, 2254279.6951446626)",0210-4,Santa Cruz,Con condiciones de riesgo,Zona con condiciones de riesgo por inundaciones,Inundaciones,�reas de Amenaza y Riesgo,Zona con condiciones de riesgo,112.6824764404858,187.17708271383356

32,"(4716656.961183503, 2254169.0198055403)",0210-5,Santa Cruz,Alto riesgo no mitigable,Zona de alto riesgo no mitigable por inundaciones,Inundaciones,�reas de Amenaza y Riesgo,Zona de riesgo no mitigable,850.7164400997478,7808.424226101432

33,"(4714325.272826738, 2253409.006072434)",0607-1,Kennedy,Con condiciones de riesgo,Zona con condiciones de riesgo por inundaciones,Inundaciones,�reas de Amenaza y Riesgo,Zona con condiciones de riesgo,1231.5984590758317,6849.077775827493

34,"(4714597.629689148, 2253521.6400038637)",0607-2,Kennedy,Con condiciones de riesgo,Zona con condiciones de riesgo por inundaciones,Inundaciones,�reas de Amenaza y Riesgo,Zona con condiciones de riesgo,751.3715351864794,3516.7929192499837

35,"(4714330.188354624, 2253706.2084189393)",0607-3,Kennedy,Con condiciones de riesgo,Zona con condiciones de riesgo por inundaciones,Inundaciones,�reas de Amenaza y Riesgo,Zona con condiciones de riesgo,168.41922382525084,669.3676372228762

36,"(4714624.288313532, 2253804.21488165)",0607-4,Kennedy,Con condiciones de riesgo,Zona con condiciones de riesgo por inundaciones,Inundaciones,�reas de Amenaza y Riesgo,Zona con condiciones de riesgo,72.90947395985488,305.9169576701959

37,"(4714224.283606163, 2253821.045208587)",0607-5,Kennedy,Con condiciones de riesgo,Zona con condiciones de riesgo por inundaciones,Inundaciones,�reas de Amenaza y Riesgo,Zona con condiciones de riesgo,322.35377091557115,1693.603560262905

38,"(4716556.128867445, 2254037.8832488637)",0211-2,La Rosa,Alto riesgo no mitigable,Zona de alto riesgo no mitigable por inundaciones,Inundaciones,�reas de Amenaza y Riesgo,Zona de riesgo no mitigable,236.0804136621319,1057.8763520237997

39,"(4717016.956720329, 2253622.2908313866)",0211-3,La Rosa,Con condiciones de riesgo,Zona con condiciones de riesgo por inundaciones,Inundaciones,�reas de Amenaza y Riesgo,Zona con condiciones de riesgo,285.2072442218887,876.9588264323107

40,"(4717441.02862768, 2250144.067239403)",0802-1,La Mansi�n,Con condiciones de riesgo,Zona con condiciones de riesgo por inundaciones,Inundaciones,�reas de Amenaza y Riesgo,Zona con condiciones de riesgo,269.8677282649543,1246.7241380621188

41,"(4717187.671171981, 2251853.5958426846)",0410-1,Campo Vald�s No.1,Con condiciones de riesgo,Zona con condiciones de riesgo por inundaciones,Inundaciones,�reas de Amenaza y Riesgo,Zona con condiciones de riesgo,1026.8894998962953,5002.054576045168

42,"(4717311.104255808, 2250549.8352387073)",0307-1,Manrique Central No.2,Con condiciones de riesgo,Zona con condiciones de riesgo por inundaciones,Inundaciones,�reas de Amenaza y Riesgo,Zona con condiciones de riesgo,108.93213707158063,441.9251606030887

43,"(4712193.814576122, 2244851.511706807)",1610-1,El Rinc�n,Con condiciones de riesgo,Zona con condiciones de riesgo por inundaciones,Inundaciones,�reas de Amenaza y Riesgo,Zona con condiciones de riesgo,141.4145762192972,616.127860609864

44,"(4716931.964452953, 2251689.5469566314)",0414-1,Brasilia,Con condiciones de riesgo,Zona con condiciones de riesgo por inundaciones,Inundaciones,�reas de Amenaza y Riesgo,Zona con condiciones de riesgo,987.3847797683255,4645.033188225372

45,"(4713307.311879816, 2249165.581899809)",1107-1,Bolivariana,Con condiciones de riesgo,Zona con condiciones de riesgo por inundaciones,Inundaciones,�reas de Amenaza y Riesgo,Zona con condiciones de riesgo,342.4746721029277,1917.0755537234554

46,"(4711289.792872376, 2249386.433624359)",1209-1,Santa M�nica,Con condiciones de riesgo,Zona con condiciones de riesgo por inundaciones,Inundaciones,�reas de Amenaza y Riesgo,Zona con condiciones de riesgo,215.94954204993508,1517.731140495901

47,"(4717745.945583968, 2251435.557754652)",0306-1,El Pomar,Con condiciones de riesgo,Zona con condiciones de riesgo por inundaciones,Inundaciones,�reas de Amenaza y Riesgo,Zona con condiciones de riesgo,28.366235047207226,35.803895995870725

48,"(4718105.272989607, 2254890.2357473383)",0201-1,La Isla,Con condiciones de riesgo,Zona con condiciones de riesgo por inundaciones,Inundaciones,�reas de Amenaza y Riesgo,Zona con condiciones de riesgo,40.045812642646254,63.43989324233427

49,"(4718099.275482353, 2255061.7431530603)",0201-2,La Isla,Con condiciones de riesgo,Zona con condiciones de riesgo por inundaciones,Inundaciones,�reas de Amenaza y Riesgo,Zona con condiciones de riesgo,40.631748493735756,105.55916358705178

50,"(4718296.253036087, 2255231.0830534236)",0201-3,La Isla,Con condiciones de riesgo,Zona con condiciones de riesgo por inundaciones,Inundaciones,�reas de Amenaza y Riesgo,Zona con condiciones de riesgo,53.69046627614097,186.66656568962122

51,"(4718135.456504974, 2253718.906618016)",0105-5,Mosc� No.2,Con condiciones de riesgo,Zona con condiciones de riesgo por inundaciones,Inundaciones,�reas de Amenaza y Riesgo,Zona con condiciones de riesgo,91.04734893435247,226.0797132289049

52,"(4718512.634638945, 2254155.2935060775)",0101-1,Santo Domingo Savio No.1,Con condiciones de riesgo,Zona con condiciones de riesgo por inundaciones,Inundaciones,�reas de Amenaza y Riesgo,Zona con condiciones de riesgo,20.280306284206652,24.410793065033758

53,"(4718441.008246067, 2254179.8495238367)",0101-2,Santo Domingo Savio No.1,Con condiciones de riesgo,Zona con condiciones de riesgo por inundaciones,Inundaciones,�reas de Amenaza y Riesgo,Zona con condiciones de riesgo,49.137183775905896,89.08515654092035

54,"(4711519.486771244, 2249485.555696748)",1207-1,El Danubio,Con condiciones de riesgo,Zona con condiciones de riesgo por inundaciones,Inundaciones,�reas de Amenaza y Riesgo,Zona con condiciones de riesgo,494.12633275587945,2663.565109263501

55,"(4719241.409830814, 2254240.4574595573)",0111-4,La Avanzada,Con condiciones de riesgo,Zona con condiciones de riesgo por inundaciones,Inundaciones,�reas de Amenaza y Riesgo,Zona con condiciones de riesgo,917.3135176952476,4921.047981877312

56,"(4717238.574355125, 2255342.0809572013)",0204-1,La Frontera,Alto riesgo no mitigable,Zona de alto riesgo no mitigable por inundaciones,Inundaciones,�reas de Amenaza y Riesgo,Zona de riesgo no mitigable,623.1810134973598,8888.345193268518

57,"(4713005.304647905, 2249096.1936159353)",1111-1,Lorena,Con condiciones de riesgo,Zona con condiciones de riesgo por inundaciones,Inundaciones,�reas de Amenaza y Riesgo,Zona con condiciones de riesgo,361.022926118271,3202.595983402007

58,"(4713148.16025709, 2249157.477416769)",1111-2,Lorena,Con condiciones de riesgo,Zona con condiciones de riesgo por inundaciones,Inundaciones,�reas de Amenaza y Riesgo,Zona con condiciones de riesgo,460.14551905947053,6764.542767305294

59,"(4712244.6365671465, 2249011.892911617)",1111-3,Lorena,Con condiciones de riesgo,Zona con condiciones de riesgo por inundaciones,Inundaciones,�reas de Amenaza y Riesgo,Zona con condiciones de riesgo,193.51162456625698,1383.3373778239566

60,"(4717932.264232454, 2254647.0466300077)",0205-2,La Francia,Con condiciones de riesgo,Zona con condiciones de riesgo por inundaciones,Inundaciones,�reas de Amenaza y Riesgo,Zona con condiciones de riesgo,51.554425166881224,170.31513136159487

