OBJECTID,Shape,codigo,nombre,riesgo,descripcion,tipo_amenaza,categoria_proteccion,subcategoria_proteccion,Shape_Length,Shape_Area

1,"(4709420.645087081, 2249261.91923841)",1315-8,Nuevos Conquistadores,Alto riesgo no mitigable,Zona de alto riesgo no mitigable por movimientos en masa,Movimientos en masa,�reas de Amenaza y Riesgo,Zona de riesgo no mitigable,365.73540586070936,8232.772225145067

2,"(4720381.714199969, 2246999.200823015)",9001-5,Las Palmas,Alto riesgo no mitigable,Zona de alto riesgo no mitigable por movimientos en masa,Movimientos en masa,�reas de Amenaza y Riesgo,Zona de riesgo no mitigable,367.53649334239225,3560.328293888264

3,"(4714034.759501746, 2255083.814094245)",0609-1,Picachito,Alto riesgo no mitigable,Zona de alto riesgo no mitigable por movimientos en masa,Movimientos en masa,�reas de Amenaza y Riesgo,Zona de riesgo no mitigable,564.6275736447334,11778.496870176616

4,"(4720159.796674155, 2246864.921757026)",0917-3,Ocho de Marzo,Con condiciones de riesgo,Zona con condiciones de riesgo por movimientos en masa,Movimientos en masa,�reas de Amenaza y Riesgo,Zona con condiciones de riesgo,344.4714446972748,4816.521664293431

5,"(4720376.287326659, 2246991.430249116)",9001-5,Las Palmas,Riesgo medio,Zona de riesgo medio por movimientos en masa,Movimientos en masa,,,59.253867129046874,173.2645426407959

6,"(4720223.697085004, 2246856.2811961393)",0917-3,Ocho de Marzo,Con condiciones de riesgo,Zona con condiciones de riesgo por movimientos en masa,Movimientos en masa,�reas de Amenaza y Riesgo,Zona con condiciones de riesgo,392.6469583172816,2409.279548576477

7,"(4718989.2180691045, 2248784.908705305)",0811-6,Trece de Noviembre,Riesgo bajo,Zona de riesgo bajo por movimientos en masa,Movimientos en masa,,,694.3973866755377,11782.060610577526

8,"(4719062.83049314, 2248973.8930241503)",0811-2,Trece de Noviembre,Con condiciones de riesgo,Zona con condiciones de riesgo por movimientos en masa,Movimientos en masa,�reas de Amenaza y Riesgo,Zona con condiciones de riesgo,349.09379740857594,5019.397514178362

9,"(4718999.700763165, 2249127.769037436)",0811-8,Trece de Noviembre,Riesgo medio,Zona de riesgo medio por movimientos en masa,Movimientos en masa,,,267.1973763202766,3404.4563288492386

10,"(4718812.383982703, 2253742.5913621876)",0110-1,La Esperanza No.2,Con condiciones de riesgo,Zona con condiciones de riesgo por movimientos en masa,Movimientos en masa,�reas de Amenaza y Riesgo,Zona con condiciones de riesgo,899.7211801896199,11579.250564150278

11,"(4719031.890109381, 2253993.6213476807)",0110-2,La Esperanza No.2,Con condiciones de riesgo,Zona con condiciones de riesgo por movimientos en masa,Movimientos en masa,�reas de Amenaza y Riesgo,Zona con condiciones de riesgo,356.4883024974154,4161.500664068491

12,"(4715314.402489651, 2242064.0303884596)",1413-1,El Diamante No.2,Con condiciones de riesgo,Zona con condiciones de riesgo por movimientos en masa,Movimientos en masa,�reas de Amenaza y Riesgo,Zona con condiciones de riesgo,310.7320879327149,6816.14003217331

13,"(4717572.225357766, 2254100.3911870075)",0207-6,Villa del Socorro,Con condiciones de riesgo,Zona con condiciones de riesgo por movimientos en masa,Movimientos en masa,�reas de Amenaza y Riesgo,Zona con condiciones de riesgo,136.83430994219918,483.1743574622784

14,"(4717947.3428749535, 2254345.550675795)",0207-7,Villa del Socorro,Con condiciones de riesgo,Zona con condiciones de riesgo por movimientos en masa,Movimientos en masa,�reas de Amenaza y Riesgo,Zona con condiciones de riesgo,650.2474950345763,6296.118569100702

15,"(4719930.901756966, 2247838.982636375)",0816-8,Villa Turbay,Riesgo bajo,Zona de riesgo bajo por movimientos en masa,Movimientos en masa,,,114.60753714576977,784.3581040345562

16,"(4719893.215478258, 2247792.722301289)",0816-9,Villa Turbay,Riesgo bajo,Zona de riesgo bajo por movimientos en masa,Movimientos en masa,,,139.1619554881869,1204.1345440878285

17,"(4719845.607875238, 2247836.2401033863)",0819-8,Villa Lilliam,Riesgo medio,Zona de riesgo medio por movimientos en masa,Movimientos en masa,,,816.0620326075823,21607.6087827604

18,"(4719184.121031687, 2249927.2665704796)",0806-4,Llanaditas,Con condiciones de riesgo,Zona con condiciones de riesgo por movimientos en masa,Movimientos en masa,�reas de Amenaza y Riesgo,Zona con condiciones de riesgo,403.6076786941284,3720.526150869282

19,"(4719054.7369799875, 2250028.8696119166)",0806-6,Llanaditas,Alto riesgo no mitigable,Zona de alto riesgo no mitigable por movimientos en masa,Movimientos en masa,�reas de Amenaza y Riesgo,Zona de riesgo no mitigable,439.46833927645247,8512.443639529654

20,"(4709417.732312923, 2249174.138232199)",1315-1,Nuevos Conquistadores,Con condiciones de riesgo,Zona con condiciones de riesgo por movimientos en masa,Movimientos en masa,�reas de Amenaza y Riesgo,Zona con condiciones de riesgo,360.0028618784009,4765.649267716642

21,"(4709277.323660519, 2249296.4212089977)",1315-2,Nuevos Conquistadores,Con condiciones de riesgo,Zona con condiciones de riesgo por movimientos en masa,Movimientos en masa,�reas de Amenaza y Riesgo,Zona con condiciones de riesgo,124.73502607537674,733.3611940634578

22,"(4708989.9553533485, 2249279.523025183)",1315-3,Nuevos Conquistadores,Con condiciones de riesgo,Zona con condiciones de riesgo por movimientos en masa,Movimientos en masa,�reas de Amenaza y Riesgo,Zona con condiciones de riesgo,551.0498998165691,9665.044255703013

23,"(4709364.807053462, 2249289.522277335)",1315-4,Nuevos Conquistadores,Con condiciones de riesgo,Zona con condiciones de riesgo por movimientos en masa,Movimientos en masa,�reas de Amenaza y Riesgo,Zona con condiciones de riesgo,1191.8644584846127,24539.054994462706

24,"(4709308.022312473, 2249612.1616795883)",1315-5,Nuevos Conquistadores,Con condiciones de riesgo,Zona con condiciones de riesgo por movimientos en masa,Movimientos en masa,�reas de Amenaza y Riesgo,Zona con condiciones de riesgo,449.7273569852572,7545.918577977544

25,"(4709439.697058156, 2249569.0961948573)",1315-6,Nuevos Conquistadores,Con condiciones de riesgo,Zona con condiciones de riesgo por movimientos en masa,Movimientos en masa,�reas de Amenaza y Riesgo,Zona con condiciones de riesgo,544.2908976816609,7054.392042519822

26,"(4709592.6885137325, 2249670.503781545)",1315-7,Nuevos Conquistadores,Con condiciones de riesgo,Zona con condiciones de riesgo por movimientos en masa,Movimientos en masa,�reas de Amenaza y Riesgo,Zona con condiciones de riesgo,234.45722156491917,2312.1256581648167

27,"(4718038.07941877, 2252790.168530697)",0302-4,Las Granjas,Con condiciones de riesgo,Zona con condiciones de riesgo por movimientos en masa,Movimientos en masa,�reas de Amenaza y Riesgo,Zona con condiciones de riesgo,18.3517043345121,3.000790725886039

28,"(4719942.646441033, 2247831.350270338)",0816-7,Villa Turbay,Riesgo medio,Zona de riesgo medio por movimientos en masa,Movimientos en masa,,,45.23964512095372,104.47520388713191

29,"(4719145.1443440225, 2247989.837072335)",0813-36,Villatina,Alto riesgo mitigable,Zona de alto riesgo mitigable por movimientos en masa,Movimientos en masa,,,242.16074469572453,2125.226328119783

30,"(4719568.573188608, 2247837.095372558)",0813-10,Villatina,Alto riesgo no mitigable,Zona de alto riesgo no mitigable por movimientos en masa,Movimientos en masa,�reas de Amenaza y Riesgo,Zona de riesgo no mitigable,127.98822772025737,440.8780375021486

31,"(4712403.323411492, 2244404.3345255856)",1608-1,La Mota,Con condiciones de riesgo,Zona con condiciones de riesgo por movimientos en masa,Movimientos en masa,�reas de Amenaza y Riesgo,Zona con condiciones de riesgo,171.6679907909894,1190.904122290296

32,"(4719287.484487547, 2249294.1132776537)",0806-15,Llanaditas,Alto riesgo no mitigable,Zona de alto riesgo no mitigable por movimientos en masa,Movimientos en masa,�reas de Amenaza y Riesgo,Zona de riesgo no mitigable,800.9175122390756,24189.95088148221

33,"(4719298.054668014, 2254794.8947515595)",0102-3,Santo Domingo Savio No.2,Con condiciones de riesgo,Zona con condiciones de riesgo por movimientos en masa,Movimientos en masa,�reas de Amenaza y Riesgo,Zona con condiciones de riesgo,670.5817165520837,14206.687656736616

34,"(4718983.902937074, 2254980.046872081)",0102-4,Santo Domingo Savio No.2,Con condiciones de riesgo,Zona con condiciones de riesgo por movimientos en masa,Movimientos en masa,�reas de Amenaza y Riesgo,Zona con condiciones de riesgo,1432.023636080602,31663.598773893293

35,"(4719073.407268062, 2254323.4878224046)",0102-5,Santo Domingo Savio No.2,Alto riesgo no mitigable,Zona de alto riesgo no mitigable por movimientos en masa,Movimientos en masa,�reas de Amenaza y Riesgo,Zona de riesgo no mitigable,62.67670387749059,23.37378205154666

36,"(4719196.821144405, 2254856.571090819)",0102-6,Santo Domingo Savio No.2,Alto riesgo no mitigable,Zona de alto riesgo no mitigable por movimientos en masa,Movimientos en masa,�reas de Amenaza y Riesgo,Zona de riesgo no mitigable,364.2875603512439,8101.099995876783

37,"(4718549.729068702, 2252228.2317884513)",0302-1,Las Granjas,Con condiciones de riesgo,Zona con condiciones de riesgo por movimientos en masa,Movimientos en masa,�reas de Amenaza y Riesgo,Zona con condiciones de riesgo,1490.101189256298,32826.9271705507

